Total_Time,Score,Distance,Walls_Hit,Opponent_Hit,Owntail_Hit,Other_Hit,Turns_Cornering,Cummulated_Low_Corner_Dist,Cummulated_Low_Corners,low corner dist,Right_Corners,Left_Corners,Turns_With_Useless_Keys,Keys_Released,scorePerDist,turnsperdist,rightminusleft,class
361,17.06925208,2.379501385,0.013850416,0,0,0.002770083,0.249307479,0.390581717,0.011080332,35.25000126,0.110803324,0.138504155,0.11634349,0.03601108,7.173457509,0.104772992,0.027700831,7
261,23.99233716,2.432950192,0,0,0,0,0.252873563,0.245210728,0.003831418,63.99999374,0.137931034,0.114942529,0.095785441,0.042145594,9.861417323,0.103937008,0.022988505,7
651,-9.443932412,1.68202765,0.102918587,0,0,0.003072197,0.248847926,0.514592934,0.01843318,27.91666625,0.124423963,0.124423963,0.039938556,0.033794163,-5.614611872,0.147945205,0,7
725,8.725517241,2.045517241,0,0,0.002758621,0,0.04137931,0.84,0.019310345,43.49999961,0.019310345,0.022068966,0.146206897,0.042758621,4.26567768,0.020229265,0.002758621,8
744,-0.073924731,2.225806452,0.057795699,0,0.001344086,0,0.193548387,0.432795699,0.012096774,35.77777836,0.096774194,0.096774194,0.106182796,0.030913978,-0.03321256,0.086956522,0,8
533,-1.624765478,2.151969981,0.011257036,0,0,0.001876173,0.17260788,0.487804878,0.013133208,37.14285786,0.097560976,0.075046904,0.09380863,0.031894934,-0.755013078,0.080209241,0.022514072,8
1053,14.48622982,2.339981007,0,0.002849003,0.000949668,0.004748338,0.025641026,0.579297246,0.012345679,46.92307697,0.015194682,0.010446344,0.067426401,0.030389364,6.190746753,0.010957792,0.004748338,9
562,-4.692170819,1.752669039,0.044483986,0,0,0.001779359,0.233096085,0.804270463,0.021352313,37.66666698,0.12633452,0.106761566,0.274021352,0.046263345,-2.67715736,0.132994924,0.019572954,9
541,2.11090573,1.663585952,0,0,0.003696858,0,0.25323475,0.953789279,0.025878004,36.85714242,0.131238447,0.121996303,0.086876155,0.04805915,1.268888889,0.152222222,0.009242144,9
536,-11.68470149,2.074626866,0.059701493,0.003731343,0,0.009328358,0.402985075,0.236940299,0.007462687,31.74999822,0.175373134,0.22761194,0.162313433,0.031716418,-5.632194245,0.194244604,0.052238806,10
485,13.37319588,2.317525773,0.026804124,0,0.004123711,0,0.026804124,0.412371134,0.010309278,40.00000136,0.008247423,0.018556701,0.531958763,0.035051546,5.770462633,0.011565836,0.010309278,10
436,16.59862385,1.387614679,0.038990826,0,0.002293578,0.006880734,0.185779817,0.167431193,0.01146789,14.59999991,0.089449541,0.096330275,0.341743119,0.043577982,11.96198347,0.133884298,0.006880734,10
1098,1.365209472,2.340619308,0.000910747,0.038251366,0,0,0.036429872,0.493624772,0.015482696,31.88235253,0.02003643,0.016393443,0.118397086,0.037340619,0.583268482,0.015564202,0.003642987,11
639,1.001564945,2.708920188,0.028169014,0,0.001564945,0.009389671,0.320813772,0.669796557,0.025039124,26.7499996,0.169014085,0.151799687,0.081377152,0.048513302,0.369728481,0.118428654,0.017214398,11
1433,13.98046057,2.630146546,0.000697837,0.002791347,0.011863224,0,0.032100488,0.685275645,0.016050244,42.69565279,0.015352408,0.016748081,0.12072575,0.037683182,5.315468294,0.012204829,0.001395673,12
631,40.62123613,2.087163233,0,0,0,0,0.055467512,0.762282092,0.017432647,43.72727171,0.025356577,0.030110935,0.129952456,0.064976228,19.46241458,0.02657555,0.004754358,13
709,23.85049365,2.108603667,0,0.004231312,0.001410437,0,0.035260931,0.576868829,0.014104372,40.90000101,0.021156559,0.014104372,0.104372355,0.045133992,11.31103679,0.016722408,0.007052187,13
699,9.871244635,1.729613734,0.035765379,0,0,0.005722461,0.185979971,0.686695279,0.032904149,20.86956508,0.103004292,0.08297568,0.027181688,0.090128755,5.70719603,0.107526882,0.020028612,13
941,9.715196599,1.883103082,0.024442083,0.004250797,0.002125399,0,0.258235919,0.427205101,0.012752391,33.5000002,0.127523911,0.130712009,0.026567481,0.060573858,5.159142212,0.137133183,0.003188098,13
883,27.95469989,2.183465459,0,0.001132503,0,0,0.021517554,0.520951302,0.012457531,41.81818227,0.013590034,0.00792752,0.125707814,0.023782559,12.80290456,0.009854772,0.005662514,14
467,-4.137044968,1.710920771,0.034261242,0,0.002141328,0,0.267665953,0.370449679,0.014989293,24.71428632,0.087794433,0.17987152,0.074946467,0.038543897,-2.418022528,0.156445557,0.092077087,14
330,2.215151515,2.251515152,0,0.021212121,0.003030303,0,0.048484848,0.506060606,0.018181818,27.83333361,0.012121212,0.036363636,0.242424242,0.036363636,0.98384926,0.02153432,0.024242424,14
1477,8.854434665,2.654705484,0.039268788,0,0.002708192,0,0.031821259,0.662153013,0.01760325,37.61538426,0.012863913,0.018957346,0.456330399,0.0352065,3.335373629,0.011986738,0.006093433,14
1105,9.326696833,2.783710407,0,0,0.001809955,0.001809955,0.25158371,0.577375566,0.015384615,37.52941273,0.154751131,0.096832579,0.029864253,0.069683258,3.350455137,0.090377113,0.057918552,15
1027,9.76436222,2.049659202,0.00194742,0.008763389,0.00194742,0.006815969,0.226874391,0.779941577,0.027263875,28.60714323,0.11781889,0.109055501,0.221032132,0.065238559,4.763895487,0.110688836,0.008763389,16
1116,3.330645161,2.509856631,0.032258065,0,0.002688172,0.002688172,0.287634409,1.008064516,0.034946237,28.84615348,0.14516129,0.142473118,0.110215054,0.110215054,1.327026062,0.114601928,0.002688172,16
241,-45.46887967,1.950207469,0.253112033,0,0,0,0.257261411,0.435684647,0.020746888,20.99999995,0.136929461,0.12033195,0.058091286,0.062240664,-23.31489362,0.131914894,0.016597511,16
1256,2.433917197,2.25955414,0.01910828,0.002388535,0,0.007165605,0.017515924,0.366242038,0.011942675,30.66666706,0.006369427,0.011146497,0.053343949,0.019904459,1.077167019,0.007751938,0.00477707,16
744,25.73252688,3.115591398,0.017473118,0,0,0,0.057795699,1.150537634,0.033602151,34.23999952,0.024193548,0.033602151,0.122311828,0.069892473,8.259275237,0.018550475,0.009408603,16
1111,-5.839783978,2.117911791,0.03780378,0,0,0.00090009,0.120612061,0.414941494,0.01170117,35.4615388,0.095409541,0.02520252,0.148514851,0.03060306,-2.757331067,0.056948576,0.070207021,17
1415,5.806360424,3.093992933,0.000706714,0.008480565,0,0.002120141,0.200706714,0.391519435,0.014134276,27.69999928,0.08975265,0.110954064,0.091872792,0.035335689,1.876656007,0.064869804,0.021201414,17
401,3.496259352,2.132169576,0,0,0.002493766,0.009975062,0.269326683,0.760598504,0.02244389,33.88888931,0.109725686,0.159600998,0.134663342,0.039900249,1.639766082,0.126315789,0.049875312,17
724,1.001381215,2.04558011,0.01519337,0.004143646,0.005524862,0.009668508,0.034530387,0.639502762,0.016574586,38.58333246,0.016574586,0.017955801,0.129834254,0.037292818,0.489534099,0.016880486,0.001381215,18
977,6.937563971,2.532241556,0.023541453,0,0.003070624,0,0.265097236,0.546571136,0.023541453,23.21739172,0.145342886,0.11975435,0.221084954,0.129989765,2.739692805,0.104688763,0.025588536,18
262,-37.16412214,1.564885496,0.190839695,0,0,0,0.244274809,0.709923664,0.026717557,26.57142882,0.080152672,0.164122137,0.114503817,0.076335878,-23.74878049,0.156097561,0.083969465,18
266,-11.77819549,2.357142857,0.052631579,0.003759398,0,0.007518797,0.233082707,1.718045113,0.052631579,32.64285711,0.116541353,0.116541353,0.033834586,0.082706767,-4.996810207,0.098883573,0,18
1004,18.92928287,2.271912351,0,0,0,0.00498008,0.027888446,0.562749004,0.012948207,43.46153904,0.012948207,0.014940239,0.062749004,0.03187251,8.331871986,0.012275318,0.001992032,19
969,20.19607843,2.228070175,0,0.005159959,0.002063983,0,0.016511868,0.511867905,0.012383901,41.33333309,0.005159959,0.011351909,0.036119711,0.016511868,9.064381658,0.007410838,0.00619195,19
1383,7.219088937,3.261026753,0,0,0.001446132,0.003615329,0.030368764,0.589298626,0.015907448,37.04545355,0.01373825,0.016630513,0.070860448,0.031091829,2.213747228,0.009312639,0.002892263,19
910,0.341758242,1.849450549,0.013186813,0.001098901,0.004395604,0.001098901,0.317582418,0.416483516,0.014285714,29.1538467,0.145054945,0.172527473,0.028571429,0.037362637,0.184789067,0.171717172,0.027472528,19
231,-24.96969697,1.58008658,0.155844156,0,0,0.017316017,0.173160173,0.255411255,0.008658009,29.49999879,0.108225108,0.064935065,0.277056277,0.034632035,-15.80273973,0.109589041,0.043290043,19
723,8.193637621,2.044260028,0,0,0.005532503,0,0.029045643,0.625172891,0.017980636,34.76923124,0.013831259,0.015214385,0.152143845,0.030428769,4.00811908,0.01420839,0.001383126,20
497,27.15895372,2.877263581,0.020120724,0,0,0,0.028169014,0.76056338,0.016096579,47.25000138,0.010060362,0.018108652,0.144869215,0.030181087,9.439160839,0.00979021,0.00804829,20
246,-32.32926829,2.451219512,0.166666667,0,0,0,0.191056911,1.012195122,0.024390244,41.49999984,0.052845528,0.138211382,0.31300813,0.044715447,-13.18905473,0.077943615,0.085365854,20
625,0.3616,2.2144,0,0,0.0176,0.0096,0.3584,0.2608,0.008,32.6,0.1328,0.2256,0.2144,0.0288,0.163294798,0.161849711,0.0928,20
1092,14.73717949,2.320512821,0,0,0,0,0.029304029,0.633699634,0.02014652,31.4545457,0.010989011,0.018315018,0.067765568,0.028388278,6.350828729,0.012628256,0.007326007,21
1446,7.778008299,2.579529737,0,0.006915629,0.000691563,0,0.022130014,0.368603043,0.013139696,28.05263097,0.009681881,0.012448133,0.058782849,0.021438451,3.015281501,0.008579088,0.002766252,21
1015,20.11428571,2.263054187,0,0.01182266,0.007881773,0.002955665,0.034482759,0.528078818,0.016748768,31.52941267,0.014778325,0.019704433,0.088669951,0.03546798,8.888114933,0.015237266,0.004926108,22
272,-25.46691176,1.952205882,0.150735294,0,0,0,0.128676471,0.371323529,0.018382353,20.19999991,0.044117647,0.084558824,0.022058824,0.033088235,-13.04519774,0.065913371,0.040441177,22
1196,0.49916388,2.398829431,0.02173913,0.00083612,0.009197324,0,0.025919732,0.441471572,0.013377926,33.00000105,0.011705686,0.014214047,0.110367893,0.025919732,0.208086441,0.010805159,0.002508361,23
1333,8.202550638,2.501125281,0.00300075,0.000750188,0.000750188,0.000750188,0.031507877,0.700675169,0.020255064,34.5925922,0.017254314,0.014253563,0.134283571,0.033008252,3.279544091,0.012597481,0.003000751,23
914,-0.530634573,1.687089716,0.02297593,0.002188184,0.001094092,0.008752735,0.025164114,0.294310722,0.010940919,26.90000008,0.013129103,0.012035011,0.166301969,0.026258206,-0.314526589,0.014915694,0.001094092,23
703,19.20910384,2.029871977,0,0.001422475,0,0,0.028449502,0.364153627,0.009957326,36.57142761,0.017069701,0.011379801,0.092460882,0.031294452,9.46320953,0.014015417,0.0056899,24
1234,10.88735818,2.453808752,0,0.004051864,0.003241491,0,0.021069692,0.529983793,0.012155592,43.5999985,0.012155592,0.0089141,0.077795786,0.025121556,4.436922061,0.008586526,0.003241492,24
317,-0.258675079,2.47318612,0.003154574,0,0.003154574,0,0.164037855,0.009463722,0.003154574,3,0.123028391,0.041009464,0.164037855,0.031545741,-0.104591837,0.066326531,0.082018927,24
751,6.860186418,2.697736352,0,0.00665779,0,0.003994674,0.202396804,0.501997337,0.013315579,37.70000065,0.10918775,0.093209055,0.087882823,0.033288948,2.542941757,0.075024679,0.015978695,24
360,8.780555556,2.369444444,0.013888889,0,0.002777778,0,0.275,0.722222222,0.022222222,32.50000032,0.152777778,0.122222222,0.036111111,0.05,3.705744431,0.116060961,0.030555556,24
1700,3.118235294,2.275294118,0,0.000588235,0.002941176,0.000588235,0.016470588,0.435882353,0.010588235,41.16666782,0.006470588,0.01,0.073529412,0.018235294,1.370475698,0.007238883,0.003529412,24
489,5.91002045,1.693251534,0,0.00408998,0.010224949,0.00204499,0.18609407,0.899795501,0.022494888,39.99999916,0.075664622,0.110429448,0.067484663,0.044989775,3.490338164,0.109903382,0.034764826,24
694,30.97262248,1.521613833,0.005763689,0.002881844,0,0,0.021613833,0.623919308,0.015850144,39.36363657,0.0129683,0.008645533,0.069164265,0.020172911,20.35511364,0.014204545,0.004322767,24
1048,5.771946565,2.038167939,0,0.000954198,0.008587786,0,0.325381679,0.260496183,0.004770992,54.60000415,0.150763359,0.174618321,0.199427481,0.025763359,2.831928839,0.159644195,0.023854962,24
634,27.81545741,1.977917981,0,0,0,0,0.017350158,0.389589905,0.006309148,61.75000254,0.007886435,0.009463722,0.066246057,0.018927445,14.06299841,0.00877193,0.001577287,25
1570,15.3955414,2.715923567,0,0.001910828,0.002547771,0,0.042675159,0.812101911,0.022929936,35.41666715,0.024840764,0.017834395,0.104458599,0.048407643,5.668621013,0.015712946,0.007006369,26
917,27.17339149,2.189749182,0,0,0,0,0.022900763,0.630316249,0.015267176,41.28571315,0.009814613,0.01308615,0.038167939,0.022900763,12.40936255,0.010458167,0.003271537,26
998,7.814629259,2.409819639,0.0501002,0,0,0.001002004,0.034068136,0.817635271,0.024048096,34.00000029,0.018036072,0.016032064,0.103206413,0.038076152,3.242827443,0.014137214,0.002004008,26
752,15.62898936,2.030585106,0.08643617,0,0,0,0.344414894,0.349734043,0.015957447,21.91666643,0.174202128,0.170212766,0.191489362,0.058510638,7.696791094,0.169613621,0.003989362,26
992,22.77520161,2.333669355,0,0.001008065,0,0.006048387,0.046370968,0.975806452,0.029233871,33.37931032,0.023185484,0.023185484,0.203629032,0.05141129,9.759395248,0.01987041,0,26
955,24.03769634,2.217801047,0,0,0,0,0.032460733,0.447120419,0.014659686,30.49999973,0.015706806,0.016753927,0.069109948,0.032460733,10.83852691,0.014636449,0.001047121,27
1267,17.10181531,2.451460142,0.004735596,0.00394633,0.000789266,0.000789266,0.029992107,0.491712707,0.012628256,38.93749913,0.014206788,0.01578532,0.113654301,0.029992107,6.976175145,0.012234385,0.001578532,27
1451,5.411440386,3.340454859,0.00275672,0,0,0.006202619,0.046864232,1.135079256,0.028945555,39.21428544,0.024121296,0.022742936,0.192281185,0.05306685,1.619971116,0.014029296,0.00137836,27
726,17.53030303,1.91322314,0.020661157,0,0,0,0.238292011,0.425619835,0.012396694,34.33333395,0.126721763,0.111570248,0.280991736,0.03030303,9.162706983,0.124550036,0.015151515,28
708,5.238700565,1.949152542,0.060734463,0,0,0.002824859,0.292372881,0.579096045,0.016949153,34.16666573,0.155367232,0.13700565,0.221751412,0.039548023,2.687681159,0.15,0.018361582,29
477,3.098532495,1.882599581,0.023060797,0,0,0.018867925,0.048218029,1.056603774,0.027253669,38.76923045,0.025157233,0.023060797,0.503144654,0.052410901,1.645879733,0.025612472,0.002096436,29
249,-0.602409639,2.401606426,0.060240964,0,0.008032129,0,0.34939759,0.714859438,0.032128514,22.25000005,0.172690763,0.176706827,0.152610442,0.060240964,-0.25083612,0.14548495,0.004016064,29
2217,1.090663058,2.899864682,0,0.00090212,0.00045106,0.00045106,0.026161479,0.458276951,0.01398286,32.7741929,0.00947226,0.01668922,0.065854759,0.028867839,0.376108259,0.009021621,0.00721696,30
1043,-1.300095877,2.28379674,0.029721956,0,0.000958773,0,0.01725791,0.357622244,0.0105465,33.9090925,0.011505273,0.005752637,0.065196548,0.020134228,-0.569269521,0.007556675,0.005752636,30
873,-0.602520046,2.156930126,0.011454754,0.001145475,0,0.006872852,0.025200458,0.443298969,0.01489118,29.76923044,0.01489118,0.010309278,0.072164948,0.026345934,-0.279341476,0.011683484,0.004581902,30
813,-2.196801968,2.612546125,0.003690037,0.001230012,0,0.011070111,0.035670357,0.736777368,0.020910209,35.2352943,0.022140221,0.013530135,0.121771218,0.038130381,-0.84086629,0.013653484,0.008610086,30
628,-2.501592357,1.78343949,0.03343949,0,0,0,0.162420382,0.590764331,0.017515924,33.72727188,0.103503185,0.058917197,0.050955414,0.049363057,-1.402678571,0.091071429,0.044585988,30
760,9.160526316,2.146052632,0.015789474,0.006578947,0,0.002631579,0.028947368,0.569736842,0.017105263,33.30769261,0.014473684,0.014473684,0.144736842,0.039473684,4.268546904,0.013488657,0,31
297,-9.097643098,2.383838384,0.03030303,0.003367003,0.013468013,0.003367003,0.430976431,0.875420875,0.03030303,28.88888916,0.239057239,0.191919192,0.01010101,0.053872054,-3.816384181,0.18079096,0.047138047,31
821,19.27161998,1.617539586,0,0,0,0,0.019488429,0.320341048,0.007308161,43.83333208,0.008526188,0.010962241,0.073081608,0.019488429,11.91415663,0.012048193,0.002436053,31
1012,28.66897233,1.759881423,0,0,0,0,0.017786561,0.282608696,0.005928854,47.66666476,0.010869565,0.006916996,0.074110672,0.018774704,16.29028636,0.010106682,0.003952569,31
985,-2.247715736,2.240609137,0.030456853,0,0,0.001015228,0.039593909,0.730964467,0.024365482,30.00000029,0.018274112,0.021319797,0.16751269,0.043654822,-1.003171726,0.017671047,0.003045685,32
1349,3.669384729,2.945885841,0,0,0.012601927,0,0.035581913,0.651593773,0.017790956,36.62500053,0.013343217,0.022238695,0.213491475,0.042253521,1.245596376,0.01207851,0.008895478,32
824,1.972087379,1.495145631,0.01092233,0.007281553,0,0.007281553,0.269417476,0.713592233,0.02184466,32.66666696,0.162621359,0.106796117,0.299757282,0.04368932,1.318993506,0.180194805,0.055825242,32
787,12.18297332,2.092757306,0,0.002541296,0.002541296,0.008894536,0.027954257,0.445997459,0.013977128,31.9090917,0.017789072,0.010165184,0.099110546,0.027954257,5.821493625,0.01335762,0.007623888,33
890,15.15842697,2.169662921,0,0.002247191,0,0,0.025842697,0.501123596,0.017977528,27.87500017,0.014606742,0.011235955,0.07752809,0.030337079,6.986535474,0.011910927,0.003370787,33
427,-8.833723653,1.695550351,0.072599532,0,0,0,0.194379391,0.456674473,0.016393443,27.85714221,0.088992974,0.105386417,0.128805621,0.032786885,-5.209944751,0.114640884,0.016393443,33
777,5.11969112,2.084942085,0.003861004,0,0.005148005,0.002574003,0.03989704,0.879021879,0.02960103,29.69565177,0.019305019,0.020592021,0.186615187,0.03989704,2.455555556,0.019135802,0.001287002,33
1278,23.06651017,2.486697966,0,0.004694836,0.002347418,0,0.023474178,0.616588419,0.016431925,37.52380923,0.009389671,0.014084507,0.08372457,0.028951487,9.275959723,0.009439899,0.004694836,33
1869,3.461744248,3.126805778,0.014446228,0,0,0.005350455,0.038523274,0.875334403,0.021936865,39.90243834,0.01658641,0.021936865,0.187265918,0.041733547,1.107118412,0.012320329,0.005350455,33
1136,0.472711268,2.433098592,0.007922535,0,0.00528169,0.002640845,0.485915493,0.563380282,0.019366197,29.09090938,0.235915493,0.25,0.131161972,0.059859155,0.194283647,0.199710564,0.014084507,33
2404,9.153494176,2.668885191,0,0.000831947,0.002079867,0.004159734,0.036189684,0.676372712,0.022878536,29.56363606,0.017886855,0.018302829,0.121048253,0.039101498,3.429706983,0.01355985,0.000415974,33
1018,15.73575639,1.764243615,0,0,0,0,0.030451866,0.760314342,0.015717092,48.37500105,0.016699411,0.013752456,0.118860511,0.030451866,8.919265033,0.017260579,0.002946955,33
1617,5.82436611,3.089053803,0.01546073,0,0.003710575,0,0.024737168,0.45021645,0.013605442,33.09090951,0.008039579,0.016697588,0.089053803,0.027210884,1.885485485,0.008008008,0.008658009,33
1354,16.21491876,2.55465288,0,0.004431315,0.000738552,0,0.019940916,0.460118168,0.011816839,38.93749995,0.008862629,0.011078287,0.133677991,0.02437223,6.347210176,0.007805724,0.002215658,34
1116,4.047491039,2.158602151,0.036738351,0.001792115,0,0,0.16218638,0.711469534,0.019713262,36.09090845,0.094982079,0.067204301,0.089605735,0.065412186,1.875051889,0.075134911,0.027777778,34
407,-16.68796069,2.614250614,0.100737101,0,0,0,0.164619165,0.594594595,0.022113022,26.88888904,0.063882064,0.100737101,0.085995086,0.066339066,-6.383458647,0.062969925,0.036855037,34
846,23.22340426,2.135933806,0,0.005910165,0.001182033,0,0.03427896,0.724586288,0.017730496,40.86666769,0.016548463,0.017730496,0.04964539,0.042553191,10.87271721,0.0160487,0.001182033,35
866,-3.386836028,2.347575058,0.024249423,0,0.003464203,0,0.147806005,0.434180139,0.016166282,26.85714248,0.055427252,0.092378753,0.042725173,0.091224018,-1.442695524,0.062961141,0.036951501,35
760,8.106578947,2.094736842,0,0.025,0.001315789,0.003947368,0.025,0.585526316,0.015789474,37.08333261,0.007894737,0.017105263,0.088157895,0.028947368,3.869974874,0.011934673,0.009210526,36
843,14.04982206,2.134045077,0.004744958,0.00118624,0,0,0.042704626,0.642941874,0.023724792,27.10000046,0.021352313,0.021352313,0.226571767,0.043890866,6.583657588,0.020011117,0,37
825,28.63757576,2.121212121,0,0.007272727,0,0,0.031515152,0.627878788,0.018181818,34.53333369,0.012121212,0.019393939,0.213333333,0.036363636,13.50057143,0.014857143,0.007272727,37
198,-17.17676768,2.424242424,0.116161616,0,0,0,0.277777778,0.449494949,0.015151515,29.66666693,0.141414141,0.136363636,0.116161616,0.03030303,-7.085416667,0.114583333,0.005050505,37
1250,16.2008,2.4528,0,0,0,0,0.0232,0.4728,0.0136,34.76470588,0.0104,0.0128,0.084,0.0256,6.605022831,0.009458578,0.0024,38
638,9.465517241,2.559561129,0,0,0.003134796,0.001567398,0.235109718,0.739811912,0.026645768,27.7647059,0.106583072,0.128526646,0.037617555,0.070532915,3.698101653,0.091855481,0.021943574,38
1448,13.84599448,2.60359116,0,0.006906077,0.004834254,0,0.020718232,0.627071823,0.016574586,37.83333249,0.006906077,0.013812155,0.054558011,0.022099448,5.318037135,0.00795756,0.006906078,39
794,28.70906801,2.09697733,0,0,0,0,0.013853904,0.520151134,0.010075567,51.62499877,0.002518892,0.011335013,0.047858942,0.013853904,13.69069069,0.006606607,0.008816121,39
1368,15.76681287,2.551169591,0,0.012426901,0.005116959,0,0.020467836,0.426900585,0.014619883,29.2000001,0.006578947,0.013888889,0.064327485,0.023391813,6.180229226,0.008022923,0.007309942,39
317,9.205047319,2.646687697,0,0.003154574,0.003154574,0,0.135646688,0.104100946,0.003154574,33.00000127,0.056782334,0.078864353,0.148264984,0.03785489,3.47794994,0.05125149,0.022082019,39
946,16.43446089,1.606765328,0,0,0.002114165,0,0.362579281,0.354122622,0.013742072,25.76923058,0.147991543,0.214587738,0.119450317,0.033826638,10.22828947,0.225657895,0.066596195,39
993,19.12789527,2.263846928,0,0,0,0,0.03121853,0.451158107,0.011077543,40.72727201,0.020140987,0.011077543,0.098690836,0.032225579,8.449288256,0.013790036,0.009063444,40
